id,trial,x,y,ymax,kernel,scenario,horizon,round,reward,experimentDuration,instructionsDuration,overall,Horizon
1,11,17,70.1369642511,57,Rough,Avg. Reward Condition,10,6,1.01,0:04:16,0:00:52,6,Long
1,1,2,64.9750195446,46,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,2,9,36.5678009819,64,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,3,16,54.2064336291,99,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,4,17,46.5491729303,99,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,5,15,41.8523667889,99,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,6,17,26.2417365952,99,Rough,Avg. Reward Condition,5,7,1.01,0:04:16,0:00:52,7,Short
1,1,9,57.8638337825,99,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,2,10,100,99,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,3,8,100,99,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,4,11,100,99,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,5,15,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,6,16,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,7,14,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,8,19,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,9,23,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,10,27,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,11,2,100,101,Rough,Avg. Reward Condition,10,8,1.01,0:04:16,0:00:52,8,Long
1,1,14,30.1562538289,32,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,2,5,8.3838001472,40,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,3,2,39.3598656042,61,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,4,21,16.0654264428,76,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,5,22,50.0506525392,76,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,6,20,10.4270665064,84,Rough,Avg. Reward Condition,5,9,1.01,0:04:16,0:00:52,9,Short
1,1,4,76.5578009357,33,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,2,13,18.2325919559,43,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,3,24,29.3347055915,65,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,4,21,66.9550943144,65,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,5,7,19.1077196989,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,6,8,38.317735311,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,7,6,76.5578009357,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,8,5,31.3702773465,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,9,2,16.9448092627,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,10,0,76.5578009357,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,11,29,63.2433803509,100,Rough,Avg. Reward Condition,10,10,1.01,0:04:16,0:00:52,10,Long
1,1,29,50.5477009648,15,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,2,7,19.7823306665,82,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,3,13,72.0399697871,82,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,4,6,72.0399697871,82,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,5,8,72.0399697871,82,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,6,3,72.0399697871,82,Rough,Avg. Reward Condition,5,11,1.01,0:04:16,0:00:52,11,Short
1,1,10,72.792574843,45,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
1,2,20,73.2933025539,49,Rough,Avg. Reward Condition,10,12,1.01,0:04:16,0:00:52,12,Long
